id,text
2f6be0a89ed03d5ad2a91165d728322e," Вот выклоуны с осенью в сердце, дарящие людям, зрителям вечное весно."
0ac1817349ccfc9cd7252a95e22eb087," Вода, вода... У меня не было ни денег, ни связей, я женщин, я до сих пор люблю. В постели хуже всего как раз люди, которые играют в спортивные игры."
2f4bd0532525895de06ac9411287cc33," Каждые 5-3 минуты должно происходить что-то интересное, какой-то драматургический поворот или что-то значимое, чтобы люди после того, как они сходили на рекламу, вернулись и досмотрели тебя."
1e0a5151efc26a3a8e038e132f6b80f4," Эквилибр. Эквилибр это не то, когда ты стоишь на руках, это когда стоишь на руках, стоишь на голове, стоишь в упорах, но... Ну, то есть вот это эквилибр сейчас, погоди. Ну вот это. Да. А это эквилибр. Ну, Влад, ты, по-моему, вообще не туда работать устроился."
0b73cea7b2dfdd7048dd84b95f8b9b0e," Кто сказал, так не бывает Ты знаешь группу Reflex? Нет Садитесь ума от разлуки на час То есть вот такой был шоу-бизнес? Глазный и противный Вот такой был Сомнение нас О, дети идут, мурашки по коже Музыка громче, словно открытый Браво, Ирон Эльсон, гостя к шоу Muzloft Ночью Музыка"
4a6d6e98413508867dc1adafef8c5e46," Кирилл Нечаев у нас сегодня в гостях! Это так прекрасно! Хоп-хей, ла-ла-лей, где вопросы, где ответ? Хоп-хей, ла-ла-лей, где ответ? Я правильно понимаю, что ты ушел от блогинства? Где? Пародии! Уже несколько лет мне пишут! And sitting in the dark With you between my door and me Как классно! А мне-то как классно! ...look perfect"
0db157b2a0b65848184bf65e3cb2a57d," Голка началась прямо сейчас! Давай-давай-давай, давай, давай, надо ускоряться! Девчонки! Спорткары! Какие спорткары? Иди и дай спри! Газ-газ-газ! Газ-газ-газ!"
1a291fbe33c55a983b08f5fa60f71710, Widowmaker are you happy yet?
4ae45fdfd387f5a00225798709fe0337," Мужчины долго ждали тот самый день, когда Так много магазинов исчезли навсегда Тут новость прилетает, Икея вдруг ушла Из неоткуда выходные появилось три часа Господи, не может быть, что все закрылись Мы об этом каждый день тебе молились Но девушек ведь не остановить Женская душа всё время требует что-то купить Красный, фиолетовый и синий Девушки тратят денежки в онлайн магазина И тут нам тебе пришла идея одна Пойти ещё на один шаг, чтоб сделать всех мужчин Числивей до конца Удалите маркетплейсы У мужиков станут радостьнее фейсы Ты увидишь, как же хороша твоя жена Когда ей не нужна карточка твоя Удалите маркетплейсы Мы не можем больше жить в постоянном стрессе Наличку некуда, девочки забиты Станет больше, не кому давать кредиты"
2e4c7dae0c99f47839880e2da7fc6769," МУЗЫКАЛЬНАЯ ЗАСТАВКА -""Красногвардейский"", который все по привычке называли гадчиной, повсюду цвела сирень. В парке Сильвии на солнце искрились фонтаны, дети ели мороженое. И все с нетерпением ожидали открытия городского кинотеатра. Открытие было намечено на воскресенье 22 июня. О том, что здесь произошло в этом городе, в этом парке, долгие годы не говорили, не писали книг, не снимали фильмов. Эта история собрана из множества осколков, свидетельств реальных людей. Немецкие войска заняли Красногвардейск. Впереди были 867 дней оккупации. Возле нашего огорода со страшным грохотом разорвался снаряд. ВЗРЫВ Война подошла к стенам города. ВЗРЫВ ТРЕВОЖНАЯ МУЗЫКА В сопротивлении участвовали даже дети. По подземному ходу прошли полтора километра. Они приближали победу. ВЗРЫВ Люди были окрепче ограниченного камня, который-то не сломался. ВЗРЫВ ВЫСТРЕЛ Все жители города должны были встать на учет, то не работает тот обречен, кто на голодную смерть. В лагере было 560 человек, выжило только шестеро. Люди работали, пока были в состоянии хотя бы ходить. ВЗРЫВ ВЗРЫВ Не горюйте, братцы. В Ленинграде немцам не бывать, а русские будут в Перлине. ВЗРЫВ Редактор субтитров А.Синецкая Корректор А.Егорова"
3b69f98d51c1028633cff24c7d2937e0," СПОКОЙНАЯ МУЗЫКА Артур, спрячь меня! Ну всё, где он, Артур? А что случилось, Лиза? А вот что случилось! Эта злодей отрезал у меня волосы! Ага, ну-ка вылезай, милисга усатая! Для брата немного волос жалко, да? Макс, а зачем тебе усы? Чтобы уважали, я с ними как взрослый! Хочешь, Лиза, я тебе сейчас ровно подстригу! Сейчас! Думаешь, что раз у тебя усы, так ты истрищи научился? Хм, а давайте посмотрим, как делали стрижки в прошлом! Парикмахеры древнего Египта делали парики! И для важности наклеивали фараоном искусственные бороды! Слышал, Макс, для важности лучше борода! А жрецам они полностью брили головы! На лысо! Это я могу! Ага, сейчас! Артур, полетели дальше! В древней Греции появились первые парикмахерские салоны! Было модно завивать длинные волосы и закреплять их обручом! Ах, жалко, Лиза, что у тебя не длинные волосы! Артур, а есть покороче стрижки? В России во времена Петра I в моду опять вошли парики! Здравствуйте, Ваше Величество! А это еще что? В моем указе сказано всем брить бороды! Нет, нет, она не настоящая! А где парики ваши? Негоже без париков! А вот это не порядок! А ну шагом марш к цирюльнику! Цирюльник? А кто это? Так раньше называли парикмахеров! Не беда! Я тоже наукой стричь владею! Главное, ножницы крепко в руке держать! Ведь они продолжение руки мастера! Знатно подстриг! И парика не надобна! Вот, Макс, учись! Спасибо, император Пётр! Эх, жалко бороду! Думаю, надо чалку подстричь! Будешь взрослее! А что ж мы у Петра ножницы не взяли? Макс, современными ножницами намного удобнее стричь! А еще появились плойки и фены! Так, Макс, садись! Макс, ты явно старше стал! Точно!"
